"Title :","System of Social and Demographic Statistics of Japan"
"Open date :","Feb.20, 2024"

"***","Not surveyed or aggregated"
"-","Not available"
"X","Figures kept undisclosed"

"","","","","/ITEMS Code","A4101","","A410101","","A410102","","A4103",""
"YEAR Code","YEAR","AREA Code","AREA","/ITEMS","A4101_Number of live births[person]","Annotation","A410101_Number of live births (Male)[person]","Annotation","A410102_Number of live births (Female)[person]","Annotation","A4103_Total fertility rate[-]","Annotation"
"2015100000","2015","07000","Fukushima-ken","","14,195","","7,120","","7,075","","1.58",""
"2015100000","2015","08000","Ibaraki-ken","","21,700","","11,074","","10,626","","1.48",""
"2015100000","2015","09000","Tochigi-ken","","15,306","","7,879","","7,427","","1.49",""
"2015100000","2015","10000","Gumma-ken","","14,256","","7,137","","7,119","","1.49",""
"2015100000","2015","11000","Saitama-ken","","56,078","","28,741","","27,337","","1.39",""
"2015100000","2015","12000","Chiba-ken","","47,019","","24,044","","22,975","","1.38",""
"2015100000","2015","13000","Tokyo-to","","113,194","","58,192","","55,002","","1.24",""
"2015100000","2015","14000","Kanagawa-ken","","73,476","","37,758","","35,718","","1.39",""
"2015100000","2015","15000","Niigata-ken","","16,340","","8,359","","7,981","","1.44",""
"2015100000","2015","16000","Toyama-ken","","7,567","","3,876","","3,691","","1.51",""
"2015100000","2015","17000","Ishikawa-ken","","9,072","","4,587","","4,485","","1.54",""
"2015100000","2015","18000","Fukui-ken","","6,230","","3,226","","3,004","","1.63",""
"2015100000","2015","19000","Yamanashi-ken","","5,988","","3,079","","2,909","","1.51",""
"2015100000","2015","20000","Nagano-ken","","15,639","","8,043","","7,596","","1.58",""
"2015100000","2015","21000","Gifu-ken","","15,467","","7,983","","7,484","","1.56",""
"2015100000","2015","22000","Shizuoka-ken","","28,352","","14,478","","13,874","","1.54",""
"2015100000","2015","23000","Aichi-ken","","65,615","","33,609","","32,006","","1.57",""
"2015100000","2015","24000","Mie-ken","","13,950","","7,153","","6,797","","1.56",""
"2015100000","2015","25000","Shiga-ken","","12,622","","6,509","","6,113","","1.61",""
"2015100000","2015","26000","Kyoto-fu","","19,663","","10,228","","9,435","","1.35",""
"2015100000","2015","27000","Osaka-fu","","70,596","","35,936","","34,660","","1.39",""
"2015100000","2015","28000","Hyogo-ken","","44,016","","22,672","","21,344","","1.48",""
"2015100000","2015","29000","Nara-ken","","9,832","","5,041","","4,791","","1.38",""
"2015100000","2015","30000","Wakayama-ken","","7,030","","3,549","","3,481","","1.54",""
"2015100000","2015","31000","Tottori-ken","","4,624","","2,400","","2,224","","1.65",""
"2015100000","2015","32000","Shimane-ken","","5,551","","2,948","","2,603","","1.78",""
"2015100000","2015","33000","Okayama-ken","","15,599","","8,031","","7,568","","1.54",""
"2015100000","2015","34000","Hiroshima-ken","","23,679","","12,021","","11,658","","1.60",""
"2015100000","2015","35000","Yamaguchi-ken","","10,360","","5,395","","4,965","","1.60",""
"2015100000","2015","36000","Tokushima-ken","","5,586","","2,921","","2,665","","1.53",""
"2015100000","2015","37000","Kagawa-ken","","7,719","","4,008","","3,711","","1.63",""
"2015100000","2015","38000","Ehime-ken","","10,146","","5,177","","4,969","","1.53",""
"2015100000","2015","39000","Kochi-ken","","5,052","","2,544","","2,508","","1.51",""
