YEAR Code,YEAR,AREA Code,AREA,A1101_Total population (Both sexes)[person],A110101_Total population (Male)[person],A110102_Total population (Female)[person],A1304_Ratio of population (under15 years old)[%],A1305_Ratio of population (15-64 years old)[%],A1306_Ratio of population (65 years old and over)[%],A4200_Number of deaths[person],A420001_Number of deaths (Male)[person],A420002_Number of deaths (Female)[person]
2009100000,2009,13000,Tokyo-to,"13,048,000","6,471,000","6,577,000",11.9,67.3,20.9,"98,304","53,549","44,755"
2009100000,2009,26000,Kyoto-fu,"2,637,000","1,266,000","1,371,000",13.2,63.7,23.1,"23,191","12,013","11,178"
2009100000,2009,27000,Osaka-fu,"8,855,000","4,284,000","4,571,000",13.7,64.3,22,"73,135","40,067","33,068"
2009100000,2009,34000,Hiroshima-ken,"2,864,000","1,383,000","1,481,000",13.7,62.7,23.7,"26,992","14,022","12,970"
2009100000,2009,47000,Okinawa-ken,"1,385,000","679,000","706,000",17.7,64.8,17.5,"9,923","5,370","4,553"
2008100000,2008,0,All Japan,"128,084,000","62,422,000","65,662,000",13.5,64.5,22.1,"1,142,407","608,711","533,696"
2008100000,2008,1000,Hokkaido,"5,548,000","2,626,000","2,922,000",12.2,64.2,23.6,"52,955","28,713","24,242"
2008100000,2008,12000,Chiba-ken,"6,153,000","3,071,000","3,082,000",13.4,66.5,20.1,"47,149","25,811","21,338"
2008100000,2008,13000,Tokyo-to,"12,973,000","6,444,000","6,529,000",11.8,67.9,20.2,"98,248","53,289","44,959"
2008100000,2008,26000,Kyoto-fu,"2,640,000","1,268,000","1,372,000",13.2,64.4,22.4,"23,015","11,940","11,075"
2008100000,2008,27000,Osaka-fu,"8,847,000","4,283,000","4,564,000",13.8,65,21.2,"72,930","39,777","33,153"
2008100000,2008,34000,Hiroshima-ken,"2,870,000","1,386,000","1,483,000",13.7,63.3,23,"27,150","14,211","12,939"
2008100000,2008,47000,Okinawa-ken,"1,378,000","675,000","703,000",17.9,64.9,17.2,"9,492","5,196","4,296"
2007100000,2007,0,All Japan,"128,033,000","62,424,000","65,608,000",13.5,65,21.5,"1,108,334","592,784","515,550"
2007100000,2007,1000,Hokkaido,"5,579,000","2,644,000","2,935,000",12.4,64.8,22.9,"51,456","28,142","23,314"
2007100000,2007,12000,Chiba-ken,"6,119,000","3,056,000","3,063,000",13.4,67.3,19.3,"45,473","25,197","20,276"
2007100000,2007,13000,Tokyo-to,"12,848,000","6,388,000","6,461,000",11.7,68.6,19.7,"96,354","52,202","44,152"
2007100000,2007,26000,Kyoto-fu,"2,643,000","1,270,000","1,373,000",13.2,65.1,21.7,"22,619","11,682","10,937"
2007100000,2007,27000,Osaka-fu,"8,839,000","4,282,000","4,557,000",13.8,65.7,20.5,"70,283","38,346","31,937"
2007100000,2007,34000,Hiroshima-ken,"2,874,000","1,389,000","1,485,000",13.8,63.8,22.4,"26,070","13,623","12,447"
2007100000,2007,47000,Okinawa-ken,"1,374,000","674,000","700,000",18.1,65,16.9,"9,399","5,049","4,350"
2006100000,2006,0,All Japan,"127,901,000","62,387,000","65,514,000",13.6,65.5,20.8,"1,084,450","581,370","503,080"
2006100000,2006,1000,Hokkaido,"5,605,000","2,661,000","2,944,000",12.6,65.3,22.2,"50,229","27,519","22,710"
2006100000,2006,12000,Chiba-ken,"6,084,000","3,041,000","3,043,000",13.5,68.1,18.4,"44,778","24,628","20,150"
2006100000,2006,13000,Tokyo-to,"12,704,000","6,322,000","6,382,000",11.6,69.3,19.1,"93,596","50,908","42,688"
2006100000,2006,26000,Kyoto-fu,"2,646,000","1,272,000","1,374,000",13.2,65.9,20.9,"22,419","11,488","10,931"
